土地總面積平方公尺,總樓層數,建物型態,建物總面積平方公尺,房,廳,衛,有無管理,車位,電梯,鄉鎮市區_七股區,鄉鎮市區_下營區,鄉鎮市區_中西區,鄉鎮市區_仁德區,鄉鎮市區_佳里區,鄉鎮市區_六甲區,鄉鎮市區_北區,鄉鎮市區_北門區,鄉鎮市區_南化區,鄉鎮市區_南區,鄉鎮市區_善化區,鄉鎮市區_大內區,鄉鎮市區_學甲區,鄉鎮市區_安南區,鄉鎮市區_安定區,鄉鎮市區_安平區,鄉鎮市區_官田區,鄉鎮市區_將軍區,鄉鎮市區_山上區,鄉鎮市區_左鎮區,鄉鎮市區_後壁區,鄉鎮市區_新化區,鄉鎮市區_新市區,鄉鎮市區_新營區,鄉鎮市區_東區,鄉鎮市區_東山區,鄉鎮市區_柳營區,鄉鎮市區_楠西區,鄉鎮市區_歸仁區,鄉鎮市區_永康區,鄉鎮市區_玉井區,鄉鎮市區_白河區,鄉鎮市區_西港區,鄉鎮市區_關廟區,鄉鎮市區_鹽水區,鄉鎮市區_麻豆區,鄉鎮市區_龍崎區,總價元(萬)
11.34,12.0,2.0,123.96,2.0,0.0,2.0,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490.0
136.39,2.0,1.0,103.89,4.0,1.0,2.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080.0
6.16,20.0,2.0,38.01,1.0,0.0,1.0,1,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.0
75.0,3.0,1.0,133.92,5.0,2.0,4.0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170.0
9.01,24.0,2.0,133.0,3.0,2.0,2.0,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645.0
19.56,22.0,2.0,220.07,3.0,2.0,2.0,1,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1446.0
29.82,3.0,1.0,92.55,3.0,1.0,2.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580.0
19.58,7.0,3.0,135.62,2.0,2.0,2.0,1,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620.0
121.0,4.0,1.0,396.72,6.0,2.0,5.0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680.0
90.33,4.0,1.0,190.66,5.0,2.0,3.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450.0
8.67,26.0,2.0,142.59,3.0,2.0,2.0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533.0
25.42,9.0,3.0,246.36,6.0,0.0,6.0,1,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870.0
15.73,6.0,3.0,86.64,3.0,2.0,2.0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498.0
204.5,5.0,1.0,551.08,5.0,3.0,6.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800.0
